Project name,Institutions_clean,institution_ids,Head_institutions,Countries_ISO2,Public value framing,Public values (labels),Technical objectives,Public/private,Funding sources,Operational status,Open access,Scope,Geographic coverage,Data types,Data collection methods,TK from IPLCs,User interface,Real-time data,What-if modelling,Decision-support function,Homepages,Other relevant sources,Notes
Extreme ocean temperature events in the Caribbean Sea and their potential impact on reef ecosystems,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"The results of this study will help improve models for predicting heat waves and cold spells. These models are useful tools for managing marine ecosystems such as coral reefs, which are home to great biodiversity, support social needs, and whose health is under pressure due to climate change.",climate change adaptation; ecosystem restoration; disaster prevention,"This study will begin by characterizing heat waves and cold spells in the Mexican Caribbean and identifying particularly extreme events, in order to elucidate the atmospheric and oceanic conditions that contribute to their development. At the same time, it will explore the potential impact on coral bleaching.",public,,operational,,local,Mexican Caribbean,oceanographic; biological,in-situ; remote sensing,no,no,no,yes,human,https://www.cicese.edu.mx/investigacion/oceanografia_fisica/4,,Information about the research project is displayed in pop-up windows. 
Fair Ease,University of Naples Federico II (UNINA); Neovia Innovation; National Center for Scientific Research (CNRS); Marine Institute (MI); National Research Council of Italy (CNR); University Consortium (CINECA); Euro-Argo ERIC; Pokapoka; Trust-iT Services; National Institute of Geophysics and Volcanology (INGV); National Oceanography Centre of UK; Flanders Marine Institute (VLIZ); Geomatys; Hellenic Centre for Marine Research (HCMR); University of Liege (ULiege); Zoological Station Anton Dohrn (SZN); University of Clermont Auvergne (UCA); Center of Sea Sciences of Algarve; Alfred-Wegener Institute (AWI); European Marine Biological Resource Centre; Royal Belgian Institute of Natural Sciences (RBINS); IFREMER; National Research Institute for Sustainable Development of France (IRD); MARIS B.V.; National Institute of Oceanography and Applied Geophysics of Italy (OGS),565;566;107;567;568;99;33;569;570;571;572;573;574;575;234;507;576;577;578;579;580;581;582;583;193,University of Naples Federico II (UNINA); MARIS; Neovia Innovation; Marine Institute (MI); National Research Council of Italy (CNR); European Union; University of Algarve; Pokapoka; Trust-iT Services; National Institute of Oceanography and Applied Geophysics of Italy (OGS); National Oceanography Centre of UK; Flanders Marine Institute (VLIZ); Geomatys; CINECA; University of Liege (ULiege); University of Clermont Auvergne (UCA); Alfred-Wegener Institute (AWI); Government of France; Royal Belgian Institute of Natural Sciences (RBINS); Government of Italy; Government of Greece,IT; IE; NL; PT; BE; DE; GR; GB; FR,"the overall objective of FAIR-EASE is to customize and operate distributed and integrated services for observation and modelling of the Earth system, environment and biodiversity by improving their different components implemented in close cooperation with user-communities, the European Open Science Cloud (EOSC) and research infrastructures in their design and sustainable availability.",basic research,"FAIR-EASE focuses on opening these gateways for the earth and environmental sciences which require a large volume of data from sources such as satellite, in-situ observations, models, and even omics experiments. Earth system domains are interconnected, but the present digital architecture is based essentially on distributed and domain-dependent data repositories inducing real difficulties for integrated uses of all the environmental data. This creates barriers for several studies with large societal impacts, such as climate change, agriculture and food, human safety and health. ",public,EU Horizon 2021,operational,fully,global,global,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,human,https://www.fairease.eu/,,
FESOM (Finite-Element/volumE Sea ice-Ocean Model),Alfred-Wegener Institute (AWI),584,Alfred-Wegener Institute (AWI),DE,"Finite-Element/volumE Sea ice-Ocean Models provide highly accurate simulations of ocean circulation and sea-ice change, which are essential for reliable climate and sea-level predictions. Open, high-resolution design supports public safety, climate policy, coastal planning, and transparent scientific research worldwide.",basic research; better decision-making; climate change adaptation,"Finite-Element/volumE Sea ice-Ocean Models are designed to accurately resolve complex ocean geometry, circulation, and sea-ice dynamics using unstructured, high-resolution meshes. Their technical objective is to improve numerical stability, efficiency, and physical realism in global and regional climate simulations.",public,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research (AWI)",operational,fully,global,worldwide application possible,oceanographic; spatial,in-situ; remote sensing,no,no,no,yes,no,https://fesom.de/,,
FindFISH,Maritime Institute - Gdynia Maritime University; Institute of Oceanology Polish Academy of Sciences; Association of Sea Fishermen,1;585;586,Polish Academy of Sciences; Gdynia Maritime University; Association of Sea Fishermen,PL,"The main goal of the project is to increase the profits of fishermen by commercializing the results of the research-implementation project (accomplished by “first production”) implemented by R&D institutions and enterprises. The subject of the project is the construction of the Knowledge Transfer Platform – FindFISH based on in-situ research, environmental data and quantitative and qualitative fishing data as well as numerical modelling of hydrodynamic, physicochemical and biological parameters of the Gulf of Gdansk. The FindFISH platform is a database containing historical data and current, online forecasts on the marine environment and living resources of the Gulf of Gdansk. It was created by means of knowledge transfer between two groups of users: scientists and fishermen. The FindFISH platform provides ongoing forecasts about the conditions of the marine environment in the Gulf of Gdańsk. It uses an operational model. The model is created based on in situ data obtained during fishing trips and transferred by fishermen as well as numerical data provided by scientists. The forecasts will show under what hydrological conditions industrial fisheries for four species - herring, sprat, cod, and flounder - should be the most abundant in resources.

FindFISH is a service built for ZRM-OP that will make it available to a wide range of interested parties.",blue economy,Creation of knowledge transfer platform,public,Pomorskie Voivodeship Regional Operational Programme for 2014-2020,operational,partially,local,Gulf of Gdansk,oceanographic; biological,in-situ,,yes,no,no,no,https://www.findfish.pl/info/index,,
Fisheries Oceanography,Peruvian Institute of the Sea (IMARPE),587,Ministry of Productionof Peru,PE,"Since its inception, the Peruvian fishery has experienced significant interdecadal variations in both abundance and distribution, with amplitudes equal to or greater than interannual variability. The effect of the environment on recruitment success is a key factor in explaining this variability. However, few studies have been conducted at this level regarding the processes that could be affecting the survival of the early life stages of these resources.",blue economy,"To investigate recruitment success under different environmental conditions, we propose using observational tools, including direct studies of larvae and modeling of the most economically important species (such as anchovy, sardine, horse mackerel, mackerel, hake, and giant squid, among others). Growth parameters serve as the basic data to feed into the simulation models.",public,,operational,,national,Peru,oceanographic; biological,in-situ,no,no,,,,https://www.imarpe.pe/imarpe/imagenes/portal/imarpe/P5-OceanografiaPesquera.pdf,,"The webpage was redesigned, and there is no information about the projects anymore. I could not double check if the project uses real-time data, what-if modelling and a decision-support function"
FishMIP,Institute for Marine & Antarctic Studies (IMAS),588,University of Tasmania,AU,"This tool shows estimates of fish biomass change under two different future climate scenarios: low emissions (SSP1-2.6) and high emissions (SSP5-8.5). For each scenario, results shown are the mean percentage change across the ecosystem model simulations making up the FishMIP ensemble. This tool supports the 'Climate Change Risks to Marine Ecosystems and Fisheries' report for the FAO published in July 2024",blue economy,estimates of fish biomass change under two different future climate scenarios,public,Australian Government through the Australian Research Council (ARC) Future Fellowship Project,operational,fully,global,"Exclusive Economic Zones (EEZs)
FAO Major Fishing Areas
Large Marine Ecosystems (LMEs)",oceanographic; biological; spatial,remote sensing; in-situ; desk research,no,yes,no,yes,human,https://rstudio.global-ecosystem-model.cloud.edu.au/shiny/FAO_report_shiny/,,
Fishtwin,Pickoun,589,Pickoun,AU,"FISHTWIN exists to enhance the sustainable and effective management of fisheries value chains to deliver healthy stocks, reduce ecosystem impacts and strengthen climate change adaptation and resilience.",mitigate biodiversity loss; blue economy; climate change mitigation,"digital twin of environment, marine pollution, climate change, biodiversity, fish stocks and fisheries",,,development,,regional,Southern Ocean; Indian Ocean; South Pacific Ocean,oceanographic; social; biological,in-situ; remote sensing,no,yes,yes,yes,human,https://www.fishtwin.org/,https://oceandecade.org/actions/digital-twins-of-the-ocean-ditto/,
FLUCAR: Springs and Sinks Along the Continental Margins of the Mexican Pacific.,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"Quasi-continuous monitoring to generate time series of oceanographic (environmental) variables of interest to various sectors: academia, industry (fishing, aquaculture, health, tourism, maritime transport, etc.), and government (…) The scientific foundations will be developed to generate the appropriate information to inform decision-making regarding: The role of greenhouse gases in Mexico’s coastal waters. National Greenhouse Gas Inventory. Information relevant to decision-making on matters related to: the United Nations Framework Convention on Climate Change / the Kyoto Protocol.",basic research; better decision-making,To estimate (using historical satellite data) and calculate (using in situ data) the variability of vertical carbon fluxes (sources and sinks) in the Mexican seas. The results will provide valuable information for improving future climate prediction models. ,public,,operational,,national,Mexican Pacific,oceanographic,in-situ; remote sensing,no,no,yes,yes,human,https://www.cicese.edu.mx/investigacion/oceanografia_biologica/1,,Information about the research project is displayed in pop-up windows. 
Fluid dynamics in rotation with topography.,Ensenada Center for Scientific Research and Advanced Studies (CICESE),50,Government of Mexico,MX,"The main objectives are focused on gaining a better understanding of the evolution of oceanic and atmospheric vortices, which are characterized by their dependence on the Earth’s rotation and, under certain circumstances, on the topography of the seafloor. Examples of such structures include tropical cyclones in the atmosphere and warm- and cold-water eddies in the ocean, which can be influenced by continental landforms (atmosphere) or underwater mountain ranges and canyons (ocean). An example of interest to our country is the interaction of anticyclonic eddies (warm water) with the continental shelf off the coast of Tamaulipas in the Gulf of Mexico. In this case, it is important to investigate whether the eddies maintain their structure or not, and how they are distributed along the coast. In the atmosphere, on the other hand, there is evidence suggesting the influence of the Sierra Madre on the drift of tropical cyclones formed either in the Pacific Ocean or in the Gulf of Mexico. Apparently, the vortices tend to be deflected toward the Sierra, moving closer to the continent, due to topographic effects induced by the Sierra’s presence and orientation. This example demonstrates the significance that topographic effects can have on vortices as distant as cyclones formed over the ocean.",disaster prevention,to study oceanic and atmospheric vortices using experimental models,public,,operational,,national,Mexico ,oceanographic,desk research,no,no,,yes,human,https://www.cicese.edu.mx/investigacion/oceanografia_fisica/1,,Information about the research project is displayed in pop-up windows. 
Free EEOI Calculator ,Totem Plus,590,Totem Plus,IL,transparent and recognized approach to assessing the level of GHG emissions from the ships in their real operating condition along the route; optimising standardized operational-level emissions monitoring and transparency in maritime transport (supporting climate goals for efficiency) ,sustainable shipping; climate change mitigation,"compute, visualize, and report vessel-level operational energy efficiency from voyage and fuel data, enabling monitoring, benchmarking, and decision support but only metric level SEEMP alignment (no SEEMP comliance management as other EEOI tools)",private,Totem Plus,operational,partially,global,"vessels (new and existing) above 400 gross tonnage (GT) engaged in international voyages under MARPOL Annex VI, monitored under SEEMP using the EEOI as the recommended operational efficiency metric",social; spatial,desk research,no,yes,no,no,human,https://www.totem-plus.com,,"""Open access partially"" because apparently you can request the calculator for free from Totem Plus "
Gaia System,SINTEF,591,SINTEF,NO,"The system creates a digital twin of the area and enables the user to interact with and explore time (i.e. navigate to the past, the present and the future of the visualised area). The Gaia System targets residents, tourists and stakeholders of the Vesterålen district as its users, aiming to contribute to the sustainable development of the local community through establishing new behaviour patterns among users and/or being used in decision-making processes.",better decision-making; stakeholder inclusion,visualise and predict environmental and socioeconomic data over time interactively,public,Norwegian Research Council,operational,partially,local,"Vesterålen, Norway",social; oceanographic,,no,yes,no,yes,no,https://www.museumnord.no/projects/gaiavesteralen/; https://www.sintef.no/en/publications/publication/2038521/,,
Global Fish Tracking System (GFTS),IFREMER; Development Seed; Simula,592;293;593,Development Seed; Simula; Government of France,US; FR; NO,"The introduction of the Global Fish Tracking System (GFTS) and the Decision Support Tool (DST) into the DestinE Platform represents a significant asset for fishery management and marine conservation. In the short term, these tools will provide policy advisers and conservationists with detailed, actionable insights into fish populations, facilitating the creation of more effective and targeted conservation measures. The user-friendly interface of the DST ensures that both primary and secondary users can make informed, data-driven decisions, promoting sustainable management practices; In the long term, the GFTS project is poised to establish a sustainable foundation for marine ecosystem conservation. Its commitment to open science and collaborative development promises to enhance the reproducibility and accessibility of its findings, fostering further research and innovation in the field. By providing a comprehensive understanding of fish behaviour and migration through advanced modelling and data integration, the project empowers stakeholders to bridge the gap between complex scientific models and practical, effective decision-making. This initiative is not merely a technological solution; it’s a commitment to the future of our oceans, ensuring that they remain vibrant and thriving for generations to come.",mitigate biodiversity loss; basic research; better decision-making,"The technical framework, including Xarray and Dask, will facilitate scalable computations, while the collaborative development on GitHub will ensure an iterative, open-science approach. The approaches and models developed as part of this use case will be applicable in a highly generalised way across different scales and areas of interest, ensures that the resulting Decision Support Tool (DST) is not only robust and comprehensive but also adaptable and user-friendly, capable of simulating various “what-if” scenarios.",public,"Destination Earth / DestinE (European Commission, European Space Agency, EUMETSAT, European Centre for Medium-Range Weather Forecasts ECMWF)",development,fully,global,Any region of the global ocean,oceanographic; spatial; biological,remote sensing; in-situ; citizen science; desk research,no,no,yes,yes,human,https://destination-earth.eu/use-cases/global-fish-tracking-system-gfts/,,Part of DestinE but labeled as own project; included in a second paper (similar text) 10.5194/egusphere-egu24-15500 
Global Flood Awareness Systems (GloFAS),European Commission Joint Research Centre (JRC); Copernicus,560;561,European Union (EU); European Union,BE,The aim of the Global Flood Awareness System (GloFAS) is to support preparatory measures as well as emergency response to predicted and ongoing major flood events at global scale,disaster prevention,predicting floods,public,EU,operational,fully,global,Global,spatial; oceanographic,remote sensing; in-situ,no,yes,yes,no,human,https://global-flood.emergency.copernicus.eu/,,
GloFAS Global Flood Monitoring (GFM),European Commission Joint Research Centre (JRC); Copernicus,560;561,European Union (EU); European Union,BE,enables the continuous monitoring of floods worldwide by immediately processing and analysing all incoming Copernicus Sentinel-1 Synthetic Aperture Radar (SAR) satellite data.,disaster prevention,monitoring floods,public,EU,operational,fully,global,Global,spatial; oceanographic,remote sensing; in-situ,no,yes,yes,no,human,https://global-flood.emergency.copernicus.eu/technical-information/glofas-gfm/,,
Guangdong-Hong Kong-Macao Greater Bay Area Demonstration Zone Marine Digital Twin Application System,Tencent; Southern Marine Science and Engineering Guangdong Laboratory Zhuhai,594;595,Tencent; Government of Guangdong Province,CN,"Using advanced technologies, highly realistic 3D simulations of typical marine phenomena can be created to recreate and predict their dynamic evolution, thereby providing decision-making support for marine disaster prevention, mitigation, and relief efforts in the Guangdong-Hong Kong-Macao Greater Bay Area.",climate change mitigation; disaster prevention; better decision-making,"This engine integrates marine AI models and visualization algorithms, and utilizes new simulation and rendering technologies to recreate the dynamic processes of marine phenomena in high-dimensional space.",public,China,operational,no,local,Guangdong-Hong Kong-Macao Greater Bay Area,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://mp.weixin.qq.com/s?__biz=MzU4OTE3MjkxMQ==&mid=2247502837&idx=3&sn=7ad709a184807d556b1e356156f0ce1d&chksm=fdd31235caa49b23144523d6f4ee5489b6d6741fc3886ab5c0006b581b158602b7993d07147e&scene=27,,
GUARDEN,Euro-Mediterranean Center on Climate Change (CMCC); National Research Council of Spain (CSIC); Harokopio University; Flanders Marine Institute (VLIZ); German Research Centre for Artificial Intelligence (DFKI); Centre for Agricultural Research for Developmen (CIRAD); National Institute for Research in Digital Science and Technology (INRIA),596;597;33;598;599;600;601,National Research Council of Spain (CSIC); CMCC; Harokopio University; Flanders Marine Institute (VLIZ); German Research Centre for Artificial Intelligence (DFKI); Centre for Agricultural Research for Developmen (CIRAD); Government of France,IT; BE; DE; GR; ES; FR,"GUARDEN will make use of a suite of methods and tools using Deep Learning, Earth Observation, and hybrid modelling to augment the amount of standardized and geo-localized biodiversity data, build-up a new generation of predictive models of biodiversity and ecosystem status indicators under multiple pressures (human and climate), and propose a set of complementary ecological indicators for local management and policy. The GUARDEN approach will be applied to sectoral case studies involving end users and stakeholders through MSPs, and addressing critical cross-sectoral challenges (i.e., at the nexus of biodiversity and deployment of energy/transport infrastructure, agriculture, and coastal urban development). Thus, the GUARDEN DSAs shall help stakeholders engaged in the challenge to improve their holistic understanding of ecosystem functioning, biodiversity loss and its drivers and explore the potential ecological and societal impacts of alternative decisions. Upon the acquisition of this new knowledge and evidence, the DSAs will help end-users not only navigate but also (re-)shape the policy landscape to make informed all-encompassing decisions through cross-sectoral integration.",better decision-making; stakeholder inclusion; mitigate biodiversity loss,"To deliver a set of ICT tools and tailored DSA that transform scientific outputs to actionable knowledge, tailored to the needs of end users.",public,EU HORIZON Europe Research and Innovation Programme,,partially,global,global   ,oceanographic; spatial; biological,remote sensing,no,no,yes,yes,human,https://guarden.org/,,
HARSAT,Baltic Marine Environment Protection Commission (HELCOM),602,,FI,Provides information for marine spatial planning and management by identifying areas that are most affected by human activities,blue economy,Spatial pressure and impact calculations using the data layers that were used in the HELCOM third holistic assessment (HOLAS 3) of the Baltic Sea,public,HELCOM  ,operational,fully,regional,Baltic sea,oceanographic; spatial,remote sensing; in-situ; desk research,no,yes,no,yes,human,https://maps.helcom.fi/website/bsii/,,
HighResMIP,Met Office of UK,603,Met Office of UK,GB,"further our understanding of the climate, assists climate risk assessment and policy ",climate change adaptation; disaster prevention; basic research,better  represent processes and address climate projection uncertainties,public,UK Research and Innovation; Horizon Europe,operational,fully,global,global,oceanographic,remote sensing,no,no,no,yes,no,https://highresmip.org/,,
HiSea,AGORA; Bantry Marine Research Station Ltd (BMRS); Hidromod; AVRAMAR ; Fundación Valenciaport; Deltares; ARGANS; Ascora,604;466;605;606;607;608;475;609,AGORA; Bantry Marine Research Station Ltd (BMRS); Hidromod; AVRAMAR ; Fundación Valenciaport; Deltares; ARGANS; Ascora,IE; NL; PT; DE; GR; GB; ES; IL,"The HiSea Platform offers state of the art data of water quality at sea to the ports and aquaculture industries to improve efficiency and cut operating costs. Our services improve operation, planning and management of different marine activities by incorporating data obtained through COPERNICUS (the EU Earth Observation and Monitoring service), local monitoring data and advanced modelling.

The innovative HiSea Platform provides physical parameters (meteorology, waves, currents, etc.) and water quality parameters (chlorophyll, marine pollution, etc.). Our services are offered in a clear, visual, digestible way, presenting flexible layers. Near real-time data based on analysis of satellite images provides accurate, reliable and high-resolution information that will make your port or aquaculture operation more cost-effective.",better ocean systems data; sustainable shipping,"provide high-resolution data of water quality at sea; incorporate and process data that are being obtained through the marine, land and climate services COPERNICUS, local monitoring data and advanced modelling",public,Horizon Europe,operational,fully,regional,European Seas,oceanographic; spatial; biological,remote sensing; in-situ,no,yes,yes,yes,human,https://hiseaproject.com/,,
Holo Lens digital twin application,NorthWind,610,NorthWind,NO,"It's for wind energy, optimal farm control and asset management. Anticipated results include high level of physical realism in DTs; max. power production with min. asset degradation and probabilistic predictive maintenance",renewable energy production,optimal farm control and asset management,public,Norwegian government ,operational,fully,local,Norway ,oceanographic; spatial,remote sensing; in-situ,no,yes,yes,yes,human,https://www.northwindresearch.no/innovations/holo-lens-digital-twin-application/,,
Huizhou 26-6 Drilling Platform,China National Offshore Oil Corporation,36,China National Offshore Oil Corporation,CN,"The Huizhou 26-6 platform is equipped with CNOOC’s first online simulation model, which enables functions such as operational parameter optimization and intelligent control. Acting like a “superbrain,” it simulates production data in real time to calculate optimal parameters for each piece of equipment and, upon authorization, directs all production processes. Notably, this model can also significantly reduce energy consumption in key equipment such as natural gas dehydration units and plug flow control systems; this alone can save nearly one million yuan in annual operating and maintenance costs.",climate change mitigation,"Through an integrated design, the system incorporates five major intelligent modules: an intelligent image processing unit, an edge computing station, a data storage and communication unit, a data security management unit, and an IoT data acquisition platform. It features three times as many intelligent devices as traditional platforms while occupying one-third of the space, boosting production efficiency by up to 20% and reducing annual operational and maintenance costs by 10%.",public,China,operational,no,local,the waters of the Pearl River Estuary Basin,oceanographic; spatial,remote sensing; in-situ,no,yes,yes,yes,human,http://www.sasac.gov.cn/n2588025/n2588124/c30802924/content.html,,
Hybrid Coordinate Ocean Model (HYCOM),Hybrid Coordinate Ocean Model (HYCOM),611,National Ocean Partnership Program (NOPP),US,"HYCOM.org provides access to near real time global HYCOM + NCODA based ocean prediction system output. The ocean prediction system runs daily at the Navy DoD Supercomputing Resource Center. Upon completion, these data are remotely copied to our local HYCOM.org servers for additional processing. Daily data is typically accessible within 48-hrs of the initial runtime.",,develop and evaluate a data-assimilative hybrid isopycnal-sigma-pressure (generalized) coordinate ocean model,public,"USA, The National Oceanographic Partnership Program ",operational,fully,global,global,oceanographic; biological; spatial,remote sensing; in-situ; desk research; citizen science,no,no,yes,no,no,https://www.hycom.org/dataserver,,
HyForce,"Agency for Science, Technology and Research of Singapore (A*STAR); Nanyang Technological University (NTU); Seatrium (SG)",612;613;614,"Agency for Science, Technology and Research of Singapore (A*STAR); Nanyang Technological University (NTU); Seatrium (SG)",SG,"optimise use of hydrogen fuel to accurately predict its 
operability in real-world scenarios; identify strengths and drawbacks by embedding the detailed design of HyForce in a virtual environment to further evaluate its operational performance through Computational Fluid Dynamics (CFD) simulations of realistic environmental conditions such as wind, wave, sea currents, and friction attributed to the properties of
seawater; results from the study indicate a base case power requirement of 93 kW to 1892 kW to achieve speeds of 5 to 12 knots in the absence of external environmental influences --> optimise costs and support decision making for deployment/planning",sustainable shipping; climate change mitigation,"quantify hydrodynamics & propulsion: compute total resistance vs speed; decompose effects (wave-making/Froude, viscous/friction/Reynolds, appendages); run scenarios (“what-if”) analyses across wind, waves, currents, depth, temperature, salinity, and operating speeds (≈5–12 kn); size/validate the propulsion system; combine CFD with empirical methods; validate resistance predictions; produce plots/figures (internal visualisation) that feed decision",public,Economic Development Board of Singapore,development,no,national,Singapore ,oceanographic; social; spatial,desk research,no,no,no,yes,human,-,,A bit on the verge of this one but in the broader sense could be included 
i4Ocean Transparent Ocean Visualization Prototype System,Ocean University of China,615,Ocean University of China,CN,"This system can be used for ocean-going vessel navigation, marine data analysis, and marine data processing. It converts common marine data formats into TIFF and JSON. By utilizing the system’s visualization capabilities for scalar and vector fields, it analyzes marine data to provide guidance for vessel navigation. This technology and equipment can be used for research into deep-sea structures.",sustainable shipping,"The i4Ocean Transparent Ocean Visualization Prototype System is an interactive visualization platform independently developed by the VV-Ocean group at the Marine Information Technology Laboratory of the School of Information Science and Technology at Ocean University of China. The platform includes visualization features such as cloud chart visualization, color profile visualization, volume rendering, 2D streamline visualization, 2D adaptive-resolution streamline visualization, 3D streamline visualization, and 3D adaptive-resolution streamline visualization. It supports real-time interactive operations such as modifying transfer functions, eigenvalues, and attribute values.",public,China,operational,,global,global,oceanographic; biological; spatial,remote sensing; in-situ,no,yes,,,human,https://iaos.ouc.edu.cn/2019/0414/c16082a237407/page.psp,,
Ike Dike,Texas A&M University College of Architecture,616,Texas A&M University Corpus Christi’,US,"assess the effects of implementing a coastal surge protection intervention on a pilot site in Texas, but as tested the digital twin is repicable to any site that has access to LiDAR Point Cloud Data and Open Street Map",disaster prevention; climate change adaptation,"three-dimensional (3D) digital twin model of Galveston Island and couple it with urban analytic and
performance metrics, examining the socioeconomic, hydrologic, and physical impacts of installing
the coastal spine through each flood scenario using the digital twin. The ability to both visualize, in
real time, flood threats to the built environment and populations and calculate inundation rates across
multiple storm and sea level rise scenarios within a dynamic and interactive geospatial analytic plat-
form allows this project to more accurately and dynamically assess landscape interventions for future
flood resilience and in lieu of climate change than current approaches afford",public,Texas A&M University College of Architecture,pilot,fully,local,"Galveston Island, Texas",oceanographic; social; spatial,desk research,no,yes,yes,yes,human,-,,
Immersive Twin for Maritime Spatial Planning,Breda University of Applied Sciences (BUas) ,617,Breda University,NL,"​No more static maps or complex GIS data. Immersive Ocean brings the ocean to life—a fully interactive, 3D world where planners, policymakers, and stakeholders can explore marine environments in stunning detail. Whether on PC or in Virtual Reality, navigate through dynamic real-time ocean simulations, visualize the impact of human activities, and make informed decisions backed by cutting-edge technology. ",better decision-making,marine spacial planning,public,EU,operational,fully,regional,"Baltic Sea
North Sea
Clyde marine region
Digitwin Noordzee
Adriatic Sea",oceanographic; spatial,remote sensing,no,yes,yes,yes,human,https://www.mspchallenge.info/,,
"Impact of Climate Change on Marine Ecosystems off the Coast of Peru: Vulnerability, Ecological Risk, Modeling, and Adaptation",Peruvian Institute of the Sea (IMARPE),587,Ministry of Productionof Peru,PE,"To reduce the vulnerability of fishing communities to climate change, it is necessary to increase the resilience of the marine ecosystem through climate change adaptation measures, such as the use of selective fishing methods that prioritize direct human consumption, and to diversify economic activities toward aquaculture and ecotourism. In this context, IMARPE is promoting actions that will enhance the capacity to improve monitoring and modeling of the Humboldt Current Ecosystem, producing higher-quality information on past, present, and future fishery productivity.",climate change adaptation; blue economy,"Develop scenarios and tools to quantify the oceanographic manifestations and ecological impacts of past and future climate change at the regional scale in the oceanic and coastal areas off the coast of Peru, with the aim of proposing adaptation measures to reduce the vulnerability of the affected socio-ecological systems.",public,,operational,,national,Peru,oceanographic; biological,,no,no,,yes,human,https://www.imarpe.pe/imarpe/imagenes/portal/imarpe/P3_CambioClimatico.pdf,,"The webpage was redesigned, and there is no information about the projects anymore. I could not double check if the project uses real-time data"
INDIMAR,PLASMAR; ECOAQUA,618;619,University of Las Palmas de Gran Canaria; PLASMAR,ES,"To contribute to the advancement of the Maritime Spatial Planning (MSP) process in the Macaronesian archipelagos by developing new tools based on scientific and technological knowledge, in preparation for the implementation period (post 2021) and supporting the sustainability of blue growth. INVESTIGATION Develop lines of research that incorporate fundamental tools (with scientific and technological innovation) for the operational development of OEM plans in Macaronesia and that place participating regional entities with management capabilities at the European level. MONITORING Development of monitoring programs for the marine environment and sectors of the blue economy adapted to the biogeographical characteristics of Macaronesia, within the framework of EU environmental and marine legislation and from an ecosystem approach incorporating economic, social and environmental parameters. TECHNOLOGICAL DEVELOPMENT Promote the development of technology and support tools (according to Directive INSPIRE 2007/2/E) for decision-making in the management of the marine environment and blue economy activities, enabling regional entities to implement the OEM Directives and the Marine Framework Strategy.",blue economy,"integrating spatial data with other variables, including from the marine sector",public,Interreg; EU,operational,partially,regional,Macaronesian archipelagos,oceanographic; biological; spatial; social,desk research; remote sensing,no,no,no,yes,human,https://geoportal.ulpgc.es/indimar/proyecto.php#content,https://www.plasmar.eu/,
"Integrated Study of Physical, Chemical, and Biological Processes in Coastal Ecosystems",Peruvian Institute of the Sea (IMARPE),587,Ministry of Productionof Peru,PE,,,"to investigate the variability of coastal ecosystems as well as the mechanisms involved in the formation and distribution of harmful algal blooms, commonly known as “red tides,” which are natural events that can have socioeconomic impacts.",public,,operational,,national,Seaside of Peru,oceanographic; biological,in-situ,no,no,,,,https://www.imarpe.pe/imarpe/imagenes/portal/imarpe/P4-BordeCostero.pdf,,"The webpage was redesigned, and there is no information about the projects anymore. I could not double check if the project has public value"
Integrated Valuation of Ecosystem Services and Trade-offs (InVEST),The Natural Capital Project,620,Stanford University,US,"InVEST® is a suite of free, open-source software models used to map and value the goods and services from nature that sustain and fulfill human life.  If properly managed, ecosystems yield a flow of services that are vital to humanity, including the production of goods (e.g., food), life-support processes (e.g., water purification), and life-fulfilling conditions (e.g., beauty, opportunities for recreation), and the conservation of options (e.g., genetic diversity for future use).  Despite its importance, this natural capital is poorly understood, scarcely monitored, and, in many cases, undergoing rapid degradation and depletion.

Governments, non-profits, international lending institutions, and corporations all manage natural resources for multiple uses and inevitably must evaluate tradeoffs among them. The multi-service, modular design of InVEST provides an effective tool for balancing the environmental and economic goals of these diverse entities.

InVEST enables decision makers to assess quantified tradeoffs associated with alternative management choices and to identify areas where investment in natural capital can enhance human development and conservation.  The toolset includes distinct ecosystem service models designed for terrestrial, freshwater, marine, and coastal ecosystems, as well as a number of “helper tools” to assist with locating and processing input data and with understanding and visualizing outputs.",better decision-making; ecosystem restoration,"The toolset includes distinct ecosystem service models designed for terrestrial, freshwater, marine, and coastal ecosystems, as well as a number of “helper tools” to assist with locating and processing input data and with understanding and visualizing outputs.",public,Stanford University ,operational,fully,global,Global,oceanographic; social; biological; spatial,remote sensing,no,yes,no,yes,no,https://naturalcapitalproject-stanford-edu.uaccess.univie.ac.at/software/invest,,
